block 1000, total 27000, active 11145, size 12, leak 133740.
block 200, total 7600, active 3599, size 48, leak 172752.
block 32, total 21504, active 21488, size 340, leak 7305920.
block 1000, total 27000, active 11138, size 12, leak 133656.
block 32, total 21504, active 21504, size 340, leak 7311360.
block 1000, total 27000, active 11392, size 12, leak 136704.
block 32, total 21536, active 21525, size 340, leak 7318500.
block 1000, total 27000, active 11136, size 12, leak 133632.
block 32, total 21568, active 21557, size 340, leak 7329380.
block 1000, total 27000, active 11122, size 12, leak 133464.
block 200, total 5200, active 3424, size 48, leak 164352.
block 32, total 21504, active 21478, size 340, leak 7302520.
block 1000, total 27000, active 11167, size 12, leak 134004.
block 200, total 3200, active 1420, size 48, leak 68160.
block 32, total 21504, active 21487, size 340, leak 7305580.
block 1000, total 27000, active 11200, size 12, leak 134400.
block 200, total 6400, active 1983, size 48, leak 95184.
block 32, total 21568, active 21556, size 340, leak 7329040.
block 1000, total 27000, active 11121, size 12, leak 133452.
block 200, total 3200, active 1599, size 48, leak 76752.
block 32, total 21504, active 21479, size 340, leak 7302860.
block 1000, total 27000, active 11155, size 12, leak 133860.
block 200, total 3200, active 1376, size 48, leak 66048.
block 32, total 21504, active 21499, size 340, leak 7309660.
block 1000, total 27000, active 11188, size 12, leak 134256.
block 200, total 3200, active 1579, size 48, leak 75792.
block 32, total 21504, active 21477, size 340, leak 7302180.
block 1000, total 27000, active 11188, size 12, leak 134256.
block 32, total 21568, active 21557, size 340, leak 7329380.
block 1000, total 27000, active 11194, size 12, leak 134328.
block 200, total 5200, active 3448, size 48, leak 165504.
block 32, total 21632, active 21608, size 340, leak 7346720.
block 1000, total 27000, active 11194, size 12, leak 134328.
block 200, total 3200, active 1547, size 48, leak 74256.
block 32, total 21632, active 21606, size 340, leak 7346040.
block 1000, total 27000, active 11194, size 12, leak 134328.
block 32, total 21632, active 21604, size 340, leak 7345360.
block 1000, total 27000, active 11188, size 12, leak 134256.
block 32, total 21632, active 21604, size 340, leak 7345360.
block 1000, total 27000, active 11188, size 12, leak 134256.
block 32, total 21632, active 21604, size 340, leak 7345360.
block 1000, total 27000, active 11194, size 12, leak 134328.
block 200, total 5200, active 2709, size 48, leak 130032.
block 32, total 21632, active 21605, size 340, leak 7345700.
block 1000, total 27000, active 11188, size 12, leak 134256.
block 200, total 3600, active 1971, size 48, leak 94608.
block 32, total 21632, active 21606, size 340, leak 7346040.
block 1000, total 27000, active 11236, size 12, leak 134832.
block 200, total 5000, active 3386, size 48, leak 162528.
block 32, total 21632, active 21608, size 340, leak 7346720.
block 1000, total 27000, active 11268, size 12, leak 135216.
block 200, total 3400, active 1827, size 48, leak 87696.
block 32, total 21632, active 21606, size 340, leak 7346040.
block 1000, total 27000, active 11259, size 12, leak 135108.
block 200, total 3200, active 1565, size 48, leak 75120.
block 32, total 21632, active 21606, size 340, leak 7346040.
block 1000, total 27000, active 11391, size 12, leak 136692.
block 200, total 5000, active 3372, size 48, leak 161856.
block 32, total 21632, active 21614, size 340, leak 7348760.
block 1000, total 27000, active 11276, size 12, leak 135312.
block 1000, total 27000, active 11266, size 12, leak 135192.
block 200, total 4800, active 2954, size 48, leak 141792.
block 32, total 21632, active 21627, size 340, leak 7353180.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 32, total 21600, active 21590, size 340, leak 7340600.
block 32, total 21600, active 21575, size 340, leak 7335500.
block 32, total 21600, active 21575, size 340, leak 7335500.
block 1000, total 27000, active 11389, size 12, leak 136668.
block 200, total 3200, active 1480, size 48, leak 71040.
